Id,Label,debug,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Eigenvector Centrality,Component ID,Strongly-Connected ID,Clustering Coefficient
48.0,TNG,1080.0,12,12,24,24.0,12.0,12.0,8.0,3.2815985130111525,45.38911317919052,3.2138443E-4,3.2166275E-4,19,2.1539861741411934E-4,0.0937634383924817,0,22,0.7121212
49.0,ZIG,1081.0,1,2,3,3.0,1.0,2.0,9.0,4.115551425030979,3229.0,4.944376E-5,4.9486578E-5,7,6.467743388038197E-5,0.001910215881710816,0,22,0.5
50.0,CSK,1082.0,1,1,2,2.0,1.0,1.0,9.0,4.115861214374226,0.0,4.944376E-5,4.9486578E-5,7,7.363218131899517E-5,1.7032213720902812E-4,0,22,1.0
51.0,DKR,1084.0,31,31,62,62.0,31.0,31.0,8.0,3.1164807930607186,18541.500572409397,7.9110014E-4,7.9178525E-4,7,6.759158827300759E-4,0.12671104696852348,0,22,0.34576613
52.0,YPY,109.0,2,2,4,4.0,2.0,2.0,8.0,4.413878562577447,1.4,7.416563E-5,7.4229865E-5,4,1.2328110952889928E-4,6.931199326620441E-4,0,22,0.0
53.0,NKC,1094.0,8,8,16,16.0,8.0,8.0,8.0,3.4337050805452294,842.0708676339797,2.224969E-4,2.2268959E-4,7,1.9963227034275539E-4,0.031999335516356024,0,22,0.64285713
54.0,NDB,1097.0,2,2,4,4.0,2.0,2.0,9.0,4.200123915737299,0.0,7.416563E-5,7.4229865E-5,7,8.06819524642074E-5,0.005943852049874895,0,22,1.0
55.0,AEY,11.0,1,1,2,2.0,1.0,1.0,10.0,6.034696406443619,0.0,4.944376E-5,4.9486578E-5,21,1.3843185832622894E-4,1.803208421024144E-4,0,22,0.0
56.0,SID,1102.0,9,15,24,24.0,9.0,15.0,8.0,3.307930607187113,5113.3921875990145,2.472188E-4,2.4743288E-4,19,2.4851315386309865E-4,0.04588672065828845,0,22,0.54583335
57.0,BVC,1103.0,13,6,19,19.0,13.0,6.0,8.0,3.623915737298637,79.0964428837464,3.461063E-4,3.4640604E-4,19,2.296340053360668E-4,0.09154953350126839,0,22,0.6025641
58.0,MMO,1104.0,1,1,2,2.0,1.0,1.0,9.0,4.351301115241636,0.0,4.944376E-5,4.9486578E-5,7,7.179075803657591E-5,7.734259749217304E-4,0,22,0.0
59.0,SNE,1105.0,2,2,4,4.0,2.0,2.0,9.0,4.30731102850062,0.0,7.416563E-5,7.4229865E-5,19,9.640285301529711E-5,0.0013923283382604999,0,22,1.0
60.0,VXE,1106.0,6,4,10,10.0,6.0,4.0,9.0,3.87639405204461,1872.7743586137808,1.7305315E-4,1.7320302E-4,19,1.7024107082820597E-4,0.036127336100172526,0,22,0.6333333
61.0,ADD,1107.0,71,66,137,137.0,71.0,66.0,8.0,3.033457249070632,127149.61695968572,0.0017799753,0.0017815167,7,0.001986700218273131,0.21283083246686502,0,22,0.17012218
62.0,AMH,1109.0,2,1,3,3.0,2.0,1.0,9.0,4.0331474597273855,0.0,7.416563E-5,7.4229865E-5,7,1.0221602214047757E-4,0.003468993684631225,0,22,1.0
63.0,YQB,111.0,18,18,36,36.0,18.0,18.0,7.0,3.2379182156133828,34291.098397458125,4.697157E-4,4.7012247E-4,4,5.758842755823477E-4,0.0651387236776822,0,22,0.28421053
64.0,AXU,1110.0,2,2,4,4.0,2.0,2.0,9.0,4.032527881040892,1075.6666666667013,7.416563E-5,7.4229865E-5,7,1.2308533230734708E-4,0.003443724290275048,0,22,0.5
65.0,BJR,1111.0,1,2,3,3.0,1.0,2.0,9.0,4.032527881040892,1075.6666666667013,4.944376E-5,4.9486578E-5,7,7.173055153180702E-5,0.0032791267084196062,0,22,0.5
66.0,DIR,1112.0,3,3,6,6.0,3.0,3.0,9.0,4.031288723667906,5.890476190476191,9.888752E-5,9.8973156E-5,7,1.5597161442052076E-4,0.0042524270902278265,0,22,0.6666667
67.0,GMB,1113.0,1,2,3,3.0,1.0,2.0,9.0,4.032837670384139,0.0,4.944376E-5,4.9486578E-5,7,7.173055153180702E-5,0.0032791267084196062,0,22,1.0
68.0,GDQ,1114.0,2,2,4,4.0,2.0,2.0,9.0,4.032527881040892,1075.6666666667013,7.416563E-5,7.4229865E-5,7,1.2308533230734708E-4,0.003443724290275048,0,22,0.5
69.0,JIM,1116.0,1,2,3,3.0,1.0,2.0,9.0,4.032837670384139,0.0,4.944376E-5,4.9486578E-5,7,7.173055153180702E-5,0.0032791267084196062,0,22,1.0
70.0,LLI,1117.0,3,3,6,6.0,3.0,3.0,9.0,4.032218091697645,2.0,9.888752E-5,9.8973156E-5,7,1.8125224236528495E-4,5.851271795640932E-4,0,22,0.5
71.0,MQX,1118.0,2,2,4,4.0,2.0,2.0,9.0,4.032527881040892,6456.0,7.416563E-5,7.4229865E-5,7,1.7370355447191263E-4,0.0034278151323973256,0,22,0.0
72.0,ASO,1119.0,2,1,3,3.0,2.0,1.0,9.0,4.0331474597273855,0.0,7.416563E-5,7.4229865E-5,7,1.0221602214047757E-4,0.003468993684631225,0,22,1.0
73.0,YQF,112.0,3,3,6,6.0,3.0,3.0,8.0,3.951982651796778,0.7333333333333334,9.888752E-5,9.8973156E-5,3,1.2648310156950212E-4,0.004291983107163195,0,22,0.6666667
74.0,BJM,1120.0,4,3,7,7.0,4.0,3.0,9.0,4.043370508054523,9.819684652381552,1.236094E-4,1.2371644E-4,7,1.301315301032024E-4,0.014189214478415152,0,22,0.8333333
75.0,HGA,1121.0,7,5,12,12.0,7.0,5.0,9.0,4.024783147459727,477.4997142526795,1.9777504E-4,1.9794631E-4,7,2.5303663928016217E-4,0.019108836653384295,0,22,0.5
76.0,BBO,1122.0,5,6,11,11.0,5.0,6.0,8.0,3.4972118959107807,6570.844784394567,1.4833127E-4,1.4845973E-4,7,2.11749139301816E-4,0.01120398998605793,0,22,0.35714287
77.0,ABS,1127.0,1,1,2,2.0,1.0,1.0,9.0,4.743804213135068,0.0,4.944376E-5,4.9486578E-5,6,9.06442477218709E-5,2.837803793382245E-4,0,22,0.0
78.0,CAI,1128.0,82,81,163,163.0,82.0,81.0,8.0,2.8971499380421313,51236.92108369064,0.002051916,0.002053693,6,0.0016011201791596942,0.36533986504040655,0,22,0.27642277
79.0,YQG,113.0,3,3,6,6.0,3.0,3.0,8.0,3.5613382899628254,10.001918661016918,9.888752E-5,9.8973156E-5,3,1.1548861559008154E-4,0.012289700420044345,0,22,0.33333334
80.0,HRG,1130.0,25,26,51,51.0,25.0,26.0,8.0,3.2772614622057,304.84463910260473,6.4276886E-4,6.433255E-4,19,3.9894186586982326E-4,0.16115027390011472,0,22,0.49846154
81.0,LXR,1132.0,7,7,14,14.0,7.0,7.0,8.0,3.310099132589839,1.200703056079799,1.9777504E-4,1.9794631E-4,6,1.6212586370803727E-4,0.049277716567249344,0,22,0.95238096
82.0,ASW,1136.0,3,3,6,6.0,3.0,3.0,8.0,3.7441140024783146,6456.0,9.888752E-5,9.8973156E-5,6,1.5705878313073486E-4,0.009816846789097888,0,22,0.33333334
83.0,EDL,1138.0,3,2,5,5.0,3.0,2.0,9.0,4.044919454770756,3227.5,9.888752E-5,9.8973156E-5,7,2.465525083785105E-4,0.0030821171088228163,0,22,0.5
84.0,KIS,1140.0,1,2,3,3.0,1.0,2.0,9.0,4.044919454770756,0.0,4.944376E-5,4.9486578E-5,7,6.922441306733221E-5,0.002708897506020075,0,22,1.0
85.0,KTL,1141.0,1,1,2,2.0,1.0,1.0,11.0,5.973977695167286,0.0,4.944376E-5,4.9486578E-5,7,1.320359911701473E-4,2.3128858367703776E-4,0,22,0.0
86.0,LOK,1143.0,2,1,3,3.0,2.0,1.0,10.0,5.044609665427509,0.0,7.416563E-5,7.4229865E-5,7,1.7400917837118548E-4,0.002907176468263208,0,22,1.0
87.0,LAU,1144.0,2,2,4,4.0,2.0,2.0,10.0,5.036245353159852,8.0,7.416563E-5,7.4229865E-5,7,1.7241078289488386E-4,4.214209660208351E-4,0,22,0.5
88.0,MBA,1145.0,8,9,17,17.0,8.0,9.0,8.0,3.2738537794299876,2841.969184130858,2.224969E-4,2.2268959E-4,7,2.447493385888555E-4,0.03178078611952595,0,22,0.5694444
89.0,WIL,1147.0,11,10,21,21.0,11.0,10.0,10.0,4.9742874845105325,45566.3340105743,2.9666253E-4,2.9691946E-4,7,0.0010104884199653441,0.002296139594124562,0,22,0.045454547
90.0,WJR,1149.0,5,4,9,9.0,5.0,4.0,9.0,4.0390334572490705,7868.304549396153,1.4833127E-4,1.4845973E-4,7,2.808927992536312E-4,0.003842149433881564,0,22,0.4
91.0,YQK,115.0,3,3,6,6.0,3.0,3.0,8.0,4.307620817843866,1812.939318595549,9.888752E-5,9.8973156E-5,2,2.2543454275888823E-4,0.0013357665706145024,0,22,0.0
92.0,GHT,1152.0,1,1,2,2.0,1.0,1.0,9.0,4.201982651796778,0.0,4.944376E-5,4.9486578E-5,6,6.82145079448367E-5,0.0015675766890511768,0,22,0.0
93.0,AKF,1153.0,2,2,4,4.0,2.0,2.0,9.0,4.201363073110285,0.0,7.416563E-5,7.4229865E-5,6,8.78463737453129E-5,0.0023358278094449147,0,22,1.0
94.0,BEN,1154.0,12,12,24,24.0,12.0,12.0,8.0,3.493804213135068,1319.6718024944685,3.2138443E-4,3.2166275E-4,6,2.771562577745202E-4,0.044394386658898,0,22,0.56060606
95.0,TIP,1157.0,25,25,50,50.0,25.0,25.0,8.0,3.202292441140025,29853.59958581533,6.4276886E-4,6.433255E-4,6,6.4912516866666E-4,0.10258301609557768,0,22,0.30166668
96.0,YQL,116.0,1,1,2,2.0,1.0,1.0,8.0,3.9532218091697646,0.0,4.944376E-5,4.9486578E-5,3,7.008853648069651E-5,0.0031794961236968995,0,22,0.0
